model,runtime
resnet_10_0.1_1e-3_1e-3_sgd,210.32796478271484
resnet_10_0.1_1e-3_1e-3_Adam,207.28705883026123
resnet_10_0.1_1e-2_1e-2_sgd,215.8431990146637
resnet_10_0.1_1e-2_1e-2_Adam,210.21766686439514
resnet_10_0.1_1e-4_1e-4_sgd,208.57410216331482
resnet_10_0.1_1e-4_1e-4_Adam,210.91255474090576
resnet_10_0.01_1e-3_1e-3_sgd,208.99743008613586
resnet_10_0.01_1e-3_1e-3_Adam,218.23694682121277
resnet_10_0.01_1e-2_1e-2_sgd,209.22195267677307
resnet_10_0.01_1e-2_1e-2_Adam,210.28048658370972
resnet_10_0.01_1e-4_1e-4_sgd,210.09449315071106
resnet_10_0.01_1e-4_1e-4_Adam,211.0517680644989
resnet_10_0.8_1e-3_1e-3_sgd,210.22076749801636
resnet_10_0.8_1e-3_1e-3_Adam,210.62804436683655
resnet_10_0.8_1e-2_1e-2_sgd,211.40545630455017
resnet_10_0.8_1e-2_1e-2_Adam,211.09582448005676
resnet_10_0.8_1e-4_1e-4_sgd,209.50760889053345
resnet_10_0.8_1e-4_1e-4_Adam,209.21790194511414
resnet_18_0.1_1e-3_1e-3_sgd,209.61995673179626
resnet_18_0.1_1e-3_1e-3_Adam,207.67937302589417
resnet_18_0.1_1e-2_1e-2_sgd,213.61184930801392
resnet_18_0.1_1e-2_1e-2_Adam,211.56626105308533
resnet_18_0.1_1e-4_1e-4_sgd,211.73489999771118
resnet_18_0.1_1e-4_1e-4_Adam,216.18827033042908
resnet_18_0.01_1e-3_1e-3_sgd,215.3315806388855
resnet_18_0.01_1e-3_1e-3_Adam,208.05273580551147
resnet_18_0.01_1e-2_1e-2_sgd,213.88266777992249
resnet_18_0.01_1e-2_1e-2_Adam,213.703782081604
resnet_18_0.01_1e-4_1e-4_sgd,211.44094944000244
resnet_18_0.01_1e-4_1e-4_Adam,216.16509675979614
resnet_18_0.8_1e-3_1e-3_sgd,210.08243346214294
resnet_18_0.8_1e-3_1e-3_Adam,210.64039754867554
resnet_18_0.8_1e-2_1e-2_sgd,216.00442814826965
resnet_18_0.8_1e-2_1e-2_Adam,212.8514699935913
resnet_18_0.8_1e-4_1e-4_sgd,207.57510924339294
resnet_18_0.8_1e-4_1e-4_Adam,207.88798642158508
resnet_34_0.1_1e-3_1e-3_sgd,213.48111414909363
resnet_34_0.1_1e-3_1e-3_Adam,211.48661732673645
resnet_34_0.1_1e-2_1e-2_sgd,208.4927830696106
resnet_34_0.1_1e-2_1e-2_Adam,209.7423963546753
resnet_34_0.1_1e-4_1e-4_sgd,208.15572428703308
resnet_34_0.1_1e-4_1e-4_Adam,217.95786547660828
resnet_34_0.01_1e-3_1e-3_sgd,208.68611931800842
resnet_34_0.01_1e-3_1e-3_Adam,209.7744174003601
resnet_34_0.01_1e-2_1e-2_sgd,219.1701979637146
resnet_34_0.01_1e-2_1e-2_Adam,216.6173985004425
resnet_34_0.01_1e-4_1e-4_sgd,214.95848512649536
resnet_34_0.01_1e-4_1e-4_Adam,212.46063899993896
resnet_34_0.8_1e-3_1e-3_sgd,209.68653273582458
resnet_34_0.8_1e-3_1e-3_Adam,207.12673926353455
resnet_34_0.8_1e-2_1e-2_sgd,211.26860642433167
resnet_34_0.8_1e-2_1e-2_Adam,207.57253980636597
resnet_34_0.8_1e-4_1e-4_sgd,209.55088257789612
resnet_34_0.8_1e-4_1e-4_Adam,217.3938295841217
densenet_10_0.1_1e-3_1e-3_sgd,0.4861619472503662
densenet_10_0.1_1e-3_1e-3_Adam,0.4423208236694336
densenet_10_0.1_1e-2_1e-2_sgd,0.4348149299621582
densenet_10_0.1_1e-2_1e-2_Adam,0.4702887535095215
densenet_10_0.1_1e-4_1e-4_sgd,0.43887853622436523
densenet_10_0.1_1e-4_1e-4_Adam,0.4599001407623291
densenet_10_0.01_1e-3_1e-3_sgd,0.42914557456970215
densenet_10_0.01_1e-3_1e-3_Adam,0.4765665531158447
densenet_10_0.01_1e-2_1e-2_sgd,0.4787912368774414
densenet_10_0.01_1e-2_1e-2_Adam,0.4538421630859375
densenet_10_0.01_1e-4_1e-4_sgd,0.4708364009857178
densenet_10_0.01_1e-4_1e-4_Adam,0.4765775203704834
densenet_10_0.8_1e-3_1e-3_sgd,0.4478302001953125
densenet_10_0.8_1e-3_1e-3_Adam,0.4549551010131836
densenet_10_0.8_1e-2_1e-2_sgd,0.4723696708679199
densenet_10_0.8_1e-2_1e-2_Adam,0.5087199211120605
densenet_10_0.8_1e-4_1e-4_sgd,0.4765031337738037
densenet_10_0.8_1e-4_1e-4_Adam,0.4651329517364502
densenet_18_0.1_1e-3_1e-3_sgd,0.4696826934814453
densenet_18_0.1_1e-3_1e-3_Adam,0.45769262313842773
densenet_18_0.1_1e-2_1e-2_sgd,0.4573936462402344
densenet_18_0.1_1e-2_1e-2_Adam,0.44705724716186523
densenet_18_0.1_1e-4_1e-4_sgd,0.4769933223724365
densenet_18_0.1_1e-4_1e-4_Adam,0.45271730422973633
densenet_18_0.01_1e-3_1e-3_sgd,0.4418959617614746
densenet_18_0.01_1e-3_1e-3_Adam,0.47489500045776367
densenet_18_0.01_1e-2_1e-2_sgd,0.467479944229126
densenet_18_0.01_1e-2_1e-2_Adam,0.43889451026916504
densenet_18_0.01_1e-4_1e-4_sgd,0.45339226722717285
densenet_18_0.01_1e-4_1e-4_Adam,0.464982271194458
densenet_18_0.8_1e-3_1e-3_sgd,0.45542359352111816
densenet_18_0.8_1e-3_1e-3_Adam,0.4436478614807129
densenet_18_0.8_1e-2_1e-2_sgd,0.4361436367034912
